figure_type,figure_no,title_name,variable,variable_rename,flip_sign,regions,models,years,scenarios,type,x,y,facet1,facet2,color,page_filter,scales
timeseriesplot,1,GDP,GDP|MER,GDP,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,2,Population,Population,Population,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,3,Energy-Related CO2 Emissions,Emissions|CO2|Energy,Energy CO2 Emissions,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,4,Primary Energy,Primary Energy,Primary Energy,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,5,Fossil Emissions,Emissions|CO2|Energy|Coal,Coal,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,5,Fossil Emissions,Emissions|CO2|Energy|Gas,Gas,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,5,Fossil Emissions,Emissions|CO2|Energy|Oil,Oil,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,6,Industrial Process Emissions,Emissions|CO2|Industrial Processes,Industrial Process,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,7,Negative Emissions,Carbon Sequestration|CCS|Biomass|Energy,BECCS,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,7,Negative Emissions,Carbon Sequestration|Chemical Feedstocks|Biomass,Biofeedstock,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
timeseriesplot,7,Negative Emissions,Carbon Sequestration|LULUCF,Land Use,0,usa,model_wm,fives_proj,wm,grid,year,value,variable_rename,scenario,model,region,free_y
