Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040
GCAM 7.0,WM_050224,USA,Agricultural Demand,million t DM/yr,670.2086383,695.6386118,797.8222888,842.566562,870.4947355,886.1975228,894.3475415,907.3443781
GCAM 7.0,WM_050224,USA,Agricultural Demand|Crops,million t DM/yr,653.3188241,659.5568377,745.7681888,788.792772,815.6029155,829.8277228,836.6015815,848.4331681
GCAM 7.0,WM_050224,USA,Agricultural Demand|Crops|Energy,million t DM/yr,38.20147,110.52802,183.5248,201.0296,193.0016,165.1663,129.0393,102.7781
GCAM 7.0,WM_050224,USA,Agricultural Demand|Crops|Feed,million t DM/yr,202.529072,184.2876591,184.4686693,194.3608902,218.8268039,247.4898719,278.1807884,305.7938256
GCAM 7.0,WM_050224,USA,Agricultural Demand|Crops|Food,million t DM/yr,278.900362,283.7466666,299.6669785,312.9138928,321.7531706,333.1024589,343.3888241,352.2485655
GCAM 7.0,WM_050224,USA,Agricultural Demand|Crops|Other,million t DM/yr,133.6879201,80.994492,78.107741,80.488389,82.021341,84.069092,85.992669,87.612677
GCAM 7.0,WM_050224,USA,Agricultural Demand|Livestock,million t DM/yr,16.8898142,36.0817741,52.0541,53.77379,54.89182,56.3698,57.74596,58.91121
GCAM 7.0,WM_050224,USA,Agricultural Demand|Livestock|Food,million t DM/yr,6.97731,6.99253,7.81354,8.18477,8.43457,8.75263,9.03924,9.28694
GCAM 7.0,WM_050224,USA,Agricultural Demand|Livestock|Other,million t DM/yr,9.9125042,29.0892441,44.24056,45.58902,46.45725,47.61717,48.70672,49.62427
GCAM 7.0,WM_050224,USA,Agricultural Production,million t DM/yr,1029.010931,1033.046198,1111.239692,1196.983106,1412.660888,1540.669437,1657.22802,1774.315561
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Biomass,GW/yr,0,0,0,27.29092527,0.254621221,0.378535501,0.187381357,0.100369105
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,0,0,0,27.29092527,0.254621221,0.378535501,0.187381357,0.100369105
GCAM 7.0,WM_050224,USA,Capacity Additions|Electricity|Coal,GW/yr,0,0,0,0,0,4.486935566,5.993150685,6.548072045
